NS.1480.001.IDT_i7_174---IDT_i5_174.109,NFMFTule_2015_Centre_109
NS.1480.001.IDT_i7_175---IDT_i5_175.123,MillCreek_2010_South_123
NS.1480.001.IDT_i7_176---IDT_i5_176.135,MillCreek_2013_South_135
NS.1480.001.IDT_i7_177---IDT_i5_177.143,MillCreek_2015_South_143
NS.1480.001.IDT_i7_178---IDT_i5_178.152,RockCreek_2010_North_152
NS.1480.001.IDT_i7_179---IDT_i5_179.89,NFMFTule_2011_Centre_89
NS.1480.001.IDT_i7_18---IDT_i5_18.210,ONeilCreek_2015_North_210
NS.1480.001.IDT_i7_182---IDT_i5_182.133,MillCreek_2013_South_133
NS.1480.001.IDT_i7_185---IDT_i5_185.102,NFMFTule_2014_Centre_102
NS.1480.001.IDT_i7_186---IDT_i5_186.110,NFMFTule_2015_Centre_110
NS.1480.001.IDT_i7_187---IDT_i5_187.124,MillCreek_2010_South_124
NS.1480.001.IDT_i7_188---IDT_i5_188.136,MillCreek_2013_South_136
NS.1480.001.IDT_i7_189---IDT_i5_189.144,MillCreek_2016_South_144
NS.1480.001.IDT_i7_19---IDT_i5_19.219,ONeilCreek_2016_North_219
NS.1480.001.IDT_i7_190---IDT_i5_190.153,RockCreek_2010_North_153
NS.1480.001.IDT_i7_191---IDT_i5_191.20,Sweetwater_2012_South_20
NS.1480.001.IDT_i7_2---IDT_i5_2.366,DeerCreek_2014_North_366
NS.1480.001.IDT_i7_20---IDT_i5_20.228,DeepCreek_2015_North_228
NS.1480.001.IDT_i7_21---IDT_i5_21.236,DeepCreek_2016_North_236
NS.1480.001.IDT_i7_22---IDT_i5_22.245,LittleJameson_2010_Centre_245
NS.1480.001.IDT_i7_23---IDT_i5_23.729,RainbowPool_2009__729
NS.1480.001.IDT_i7_24---IDT_i5_24.779,ShastaCostaCreek_2008__779
NS.1480.001.IDT_i7_25---IDT_i5_25.356,DeerCreek_2012_North_356
NS.1480.001.IDT_i7_26---IDT_i5_26.368,DeerCreek_2015_North_368
