ID_code	V1	V2	V3	V4	V5	Location	Lat	Long	Elevation	Location.description	Notes	Alex.GPS.point	Collector	Avg.Temp	Julyhigh	Julylow	JulyPrecip.mm.	GroupName	Group	QubitPCR.Conc	Ext.Qubit.conc.	Ext.260.280	Ext.260.230	Volume.to.pool.1	Leaf_date	Weight.of.sample..mg.	Numb.leaves	Leaf_weight	Sampling.Notes.y	DOY	Date	Flowering.date	Pop.x	Id	Pop_shift	Lat_shift	Long_shift	LocationName	Ice_time	O.HOM.	E.HOM.	N_SITES	F	INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	PC1	PC2	PC3	PC4	PC5	PC6	Pop.y	Pop	map_colours_5g	Max_Admix_Group	lon_shift.utm	lat_shift.utm	lon.utm	lat.utm
PopAlexNew_21	1e-05	0.877094	1e-05	1e-05	0.122876	Alex	78.87839	-75.77746	16		WestHeliPoints	NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	71.8	111	NA	NA	3.48189415		NA	NA	NA		196	July152017	190	AlexNew	21	Alex	78	-64	AlexandraFiord	7.2	8424	8535.3	11563	-0.03677	PopAlexNew_21	9285	0	38	0.00409262	-0.0130109192938148	0.0174090611537294	0.0359757534675621	-0.112837804044421	-0.010016578160604	-0.0167790007730529	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1174894.53067584	-297785.864080422
PopAlexNew_24	1e-05	0.892668	1e-05	1e-05	0.107302	Alex	78.84978	-75.78667	NA		WestHeliPoints	NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	49.8	190	NA	NA	5.020080321		NA	NA	NA		196	July152017	190	AlexNew	24	Alex	78	-64	AlexandraFiord	7.2	8480	8503.5	11519	-0.00781	PopAlexNew_24	9285	0	37	0.00398492	-0.0133911972837463	0.0203529985854883	0.0346793898665153	-0.114485852010085	-0.0116845056770368	-0.0220417514434536	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1177983.25893412	-298367.214724866
PopAlexNew_28	1e-05	0.854903	1e-05	1e-05	0.145067	Alex	78.8833	-75.8	NA	RockNorthofFertSite	WestHeliPoints	NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	83.2	98.6	NA	NA	3.004807692		NA	NA	NA		196	July152017	190	AlexNew	28	Alex	78	-64	AlexandraFiord	7.2	8407	8512.1	11534	-0.03477	PopAlexNew_28	9285	0	41	0.00441572	-0.0135490789056065	0.0169857567536344	0.0308287540901646	-0.112798811416748	-0.0147567831332407	-0.0223996788596903	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1174489.70143599	-297191.583240872
PopAlexNew_32	1e-05	0.777019	1e-05	1e-05	0.222951	Alex	78.879042	-75.716283	NA	EastRiver2	EastHeliPoints	NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	83.6	113	NA	NA	2.990430622		NA	NA	NA		196	July152017	190	AlexNew	32	Alex	78	-64	AlexandraFiord	7.2	7572	8531.3	11560	-0.31673	PopAlexNew_32	9285	0	15	0.00161551	-0.0140988096502601	0.0191340664280546	0.0241153165760842	-0.104585945732856	-0.0107960213117722	-0.017956927414597	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1174506.62714157	-299022.538813662
PopAlexNew_33	0.018471	0.738999	1e-05	1e-05	0.24251	Alex	78.85109	-75.75414	NA	SouthernLowland	EastHeliPoints	NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	73.2	214	NA	NA	3.415300546		NA	NA	NA		196	July152017	190	AlexNew	33	Alex	78	-64	AlexandraFiord	7.2	7333	8533.6	11564	-0.39619	PopAlexNew_33	9285	0	15	0.00161551	-0.0137721351952105	0.0131832208005664	0.0204167370567891	-0.108863585271511	-0.00281576193737564	-0.0243223038822964	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1177674.45017257	-299000.626721009
PopAlexNew_36	1e-05	0.897292	1e-05	1e-05	0.102678	Alex	78.879926	-75.836567	NA	OceanNearJaegersNests		NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	31	153	NA	NA	8.064516129		NA	NA	NA		188	July72017	190	AlexNew	36	Alex	78	-64	AlexandraFiord	7.2	8558	8528.6	11553	0.00972	PopAlexNew_36	9285	0	34	0.00366182	-0.0137315857980978	0.0167777120293553	0.0367777856268645	-0.107859763366834	-0.0118385837283987	-0.0183289190374769	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1175037.815826	-296532.46321837
PopAlexNew_42	1e-05	0.823835	1e-05	1e-05	0.176135	Alex	78.88102	-75.6715	NA	NorthEastPlateau		NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	81.8	202	NA	NA	3.056234719		NA	NA	NA		190	July92019	190	AlexNew	42	Alex	78	-64	AlexandraFiord	7.2	8482	8523.7	11545	-0.01381	PopAlexNew_42	9285	0	28	0.00301562	-0.0136066189931204	0.0203840314691517	0.0285576575114926	-0.0999979833579737	-0.0100810135396824	-0.0210271001534918	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1174062.42607262	-299886.783417657
PopAlexNew_46	1e-05	0.912369	1e-05	1e-05	0.087601	Alex	78.852018	-75.872235	NA	RidgeSouthHelmsDeepbyglacier		NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	56.8	258	NA	NA	4.401408451		NA	NA	NA		202	July212017	190	AlexNew	46	Alex	78	-64	AlexandraFiord	7.2	9481	8506.6	11522	0.32314	PopAlexNew_46	9285	0	59	0.00635433	-0.0131318182935612	0.0189245969689901	0.0381326081884151	-0.130656654879141	-0.0173895479524457	-0.0245364824114791	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1178189.55857128	-296547.79768549
PopAlexNew_47	1e-05	0.854921	1e-05	1e-05	0.145049	Alex	78.855009	-75.868268	NA	HelmsDeepNorth		NA	CassandraElphinstone	5.5	NA	NA	NA	AN	Nunavut	55.6	212	NA	NA	4.496402878		NA	NA	NA		202	July212017	190	AlexNew	47	Alex	78	-64	AlexandraFiord	7.2	8369	8515.4	11540	-0.04839	PopAlexNew_47	9285	0	24	0.00258481	-0.0133659016174699	0.0172912054521607	0.033342630297146	-0.106402419720156	-0.0112696315104493	-0.0220183614634082	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1177850.99883573	-296549.301963984
PopAlexNew_49	0.203367	0.641568	1e-05	0.063497	0.091557	Alex	78.861338	-75.901879	NA	TopWestDomewithDarksoil		NA	CassandraElphinstone	5.5	NA	NA	NA	ELL2	Nunavut	69.8	102	NA	NA	3.581661891		NA	NA	NA		202	July212017	190	AlexNew	49	Alex	78	-64	AlexandraFiord	7.2	7832	8554.1	11591	-0.23778	PopAlexNew_49	9285	0	4	0.000430802	-0.0132245007060666	-0.0264071836029088	0.0412316517039823	-0.0710990085594743	0.0561720576194534	-0.00600845110249689	PopAlexNew	AlexNew	yellow	V2	-1176003.38904391	-573575.177100613	-1177351.71945283	-295689.264639184
