ID_code O.HOM. E.HOM. N_SITES F
PopGEN_6 1486 2088.6 3315 -0.49137
PopGEN_7 1573 2128 3380 -0.4433
PopGEN_8 1581 2176.6 3464 -0.46261
PopGEN_9 1556 2097.6 3328 -0.44017
PopGF_1 2223 2277 5062 -0.01939
PopGF_4 2051 2277 5080 -0.08063
PopHAZ_18 7404 7388.8 10400 0.00504
PopHAZ_20 5819 7438.3 10465 -0.535
PopHAZ_22 7357 7397.9 10414 -0.01356
PopHAZ_24 7261 7322.2 10312 -0.02047
PopHAZ_26 7539 7402 10416 0.04546
PopHAZ_29 7290 7418.9 10443 -0.04264
PopHAZ_33 7138 7406.3 10421 -0.08899
PopHAZ_34 7383 7416.6 10440 -0.01112
PopHAZ_6 7489 7415.9 10432 0.02423
PopHAZ_9 7445 7416.5 10439 0.00942
PopIG_10 5995 6105 8901 -0.03936
PopIG_12 5961 6107.2 8905 -0.05224
PopIG_14 5944 6099.7 8890 -0.0558
PopIG_2 5776 6065.4 8839 -0.10435
PopIG_3 5897 6090.7 8881 -0.06944
PopIG_4 6043 6118.1 8921 -0.02679
PopIG_5 6016 6074.4 8859 -0.02098
PopIG_6 5712 6118.6 8921 -0.14511
PopIG_9 4449 6104.6 8901 -0.59205
PopIMN_11 8731 8820.8 12328 -0.02559
PopIMN_13 8308 8867.8 12392 -0.15883
PopIMN_15 8789 8838.2 12353 -0.01399
PopIMN_17 8809 8845.9 12362 -0.01048
PopIMN_1 7546 8854.3 12374 -0.37172
PopIMN_20 8747 8875.6 12402 -0.03647
PopIMN_21 8838 8841.3 12357 -0.00094
PopIMN_2 8758 8854.1 12375 -0.02728
PopIMN_5 7798 8869.6 12394 -0.30405
PopIMN_7 7819 8887 12420 -0.3023
PopIq_10 7576 7186.7 10211 0.12873
PopIq_13 7096 7194.6 10225 -0.03255
PopIq_15 7164 7159.6 10178 0.00146
PopIq_16 7127 7203 10238 -0.02503
PopIq_17 7090 7144.4 10148 -0.01812
PopIq_20 6821 7181.2 10209 -0.11897
