Pop Avg SD var
025 0.120365052129659 1.07062476021508 1.1462373771856
AlexNew 0.0885206332553161 1.04913582004172 1.10068596889461
AlexOld 0.16061634804152 1.04071065144413 1.08307866002927
ATQ 0.0668993195621194 1.00768688121268 1.01543285056813
AXE 0.0473349122045807 1.04653850338645 1.09524283907035
BARD 0.0217753503718407 1.02886366679122 1.05856044484307
BY 0.168361015523357 1.03032411098379 1.06156777367453
CR 0.162016008735076 1.02037315475798 1.04116137495075
DEN 0.136294157739255 1.0147111210117 1.02963865910482
DLG 0.56649322392423 1.28901309672345 1.66155476352458
DQG 0.0370484128598949 1.07117371886911 1.14741313599588
FOS 0.17929322146486 1.0064730473731 1.01298799508849
GEN 0.551594608832932 1.24138539861375 1.54103770789141
GF 0.0781168698066975 1.03415257887182 1.06947155638724
HAZ 0.0998170103753799 1.03379795061782 1.0687382027016
IG 0.215820979243177 1.04315309269687 1.08816837480304
IMN 0.0572384537918848 1.00016823064191 1.00033648958537
Iq 0.0857963160386458 1.0246207030352 1.04984758508834
Kik 0.0837507309285825 1.02216019150396 1.04481145709541
KL 0.465330259754467 0.980845756733598 0.962058398502304
KUQ 0.0488933858745457 1.0123554806976 1.02486361929848
LAJ 0.241388089208415 1.05609219722915 1.1153307290483
LON 0.0866054949590567 1.05768785976384 1.11870360869182
MAT 0.0828696124804976 1.00334692104458 1.00670504396964
MIL 0.0647300596358058 0.997561663595252 0.995129272674926
MNT 0.0278528341085773 1.00049387458978 1.00098799309166
PC -0.0161616513873139 0.964141035208988 0.929567935773859
PEA 0.150792633069606 1.0198984398548 1.04019282761826
PET 0.0950135502345582 1.02064783074225 1.04172199439886
QHI 0.036046135222414 0.992503691919023 0.985063578472891
SAG 0.0251839387074741 0.993693035634608 0.987425849068723
SAM 0.286961283825696 1.07245462457344 1.15015892176897
SVN NA NA NA
SVO NA NA NA
SW 0.180665184952526 1.04659264460581 1.09535616374297
YAM 0.157507608616338 1.07468675693283 1.15495162552681
YED 0.311427273146338 1.00969789284008 1.0194898348057
ZAC 0.382225483581412 1.03681831656517 1.07499222156502
