Pop.x.x	V1.x	V2.x	V3.x	V4.x	V5.x	F_MISS.x	N_MISS.x	O.HOM..x	E.HOM..x	N_SITES.x	FIS.x	Lat	Long	Elevation	Avg.Temp.x	Leaf_weight.x	Site	Collector	Date	Count	Pop	Pop_name	Group	Lat.x	Long.x	Ice_time.x	Ice_time2	Clim_distance	tavg	tmin	tmax	prcp	snwd	wfsg	tavglong	tminlong	tmaxlong	prcplong	snwdlong	wfsglong	TajimaAvg	TajimaSD	TajimaVar	SumSitePi	Site_SD_Pi	Site_var_Pi	SumWindPi	Wind_SD_Pi	Wind_var_Pi	Lat_shift	Long_shift	PC1	PC2	PC3	PC4	PC5	PC6	Max_Admix_Group	Admix_Location	map_colours_5g	lon_shift.utm	lat_shift.utm	lon.utm	lat.utm
DQG	0.0274611	0.0427903	1e-05	0.9297285	1e-05	0.002681745	24.9	6086	6433.53	8973.9	-0.136683	69.2541	-53.5176	20	7	1.09921584266667	DiskoQeqertarsuaqGreenland	PerMolgaard	2017-07-01	10	DQG	DiskoQeqertarsuaqGreenland	Greenland	69.2541	-53.5176	11.5	11.5	67.12113785	5.034782609	2.791025641	8.410958904	11.82954545	NA	NA	6.06969697	3.594117647	9.153671215	14.32044888	90.5890411	NA	0.0370484128598949	1.07117371886911	1.14741313599588	2549.16564	0.163026199599306	0.0265775417557929	16.88805493	0.00250257063669656	6.26285979165583e-06	71	-47	-0.0141836409174629	0.0194461810748718	0.0681183943681001	0.0890449041825207	0.00254862365156249	0.0128859218485363	V4	Greenland	orange	-1523234.31496761	-1420438.97842986	-1831643.51926522	-1354474.39540128
EUR	1e-05	0.3240975	1e-05	0.0491765	0.626706	0.00608508	56.5	NA	NA	NA	NA	79.99759444	-85.81643889	NA	NA	0.715418353333333	EurekaNunavut	PaulSokoloff	c("July112016", "July112017")	4	EUR	Eurkea	Nunavut	80.12105556	-84.80794444	8.5	8.5	2.761810271	3.638043478	0.804545455	7.331818182	69.91044776	111.5714286	NA	4.536670294	1.838457207	7.460472973	6.823032224	8.23433584	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	83	-107	-0.0136487217766837	0.0129818430743066	-0.0170153409295533	-0.028912388099878	-0.0014731735618804	-0.0343013450458393	V5	Alaska	deepskyblue	-728203.400293505	222634.121812247	-1071516.42499547	-97365.8323016794
FOS	1e-05	0.28574525	1e-05	0.091116	0.62311925	0.033521795	311.25	3979	4034.175	6758	-0.01943	80.12105556	-84.80794444	NA	NA	0.62933635	FosheimPeninsula	PaulSokoloff	July72017	4	FOS	FosheimPeninsula	Nunavut	80.12105556	-84.80794444	8.5	8.5	26.49323786	3.638043478	0.804545455	7.331818182	69.91044776	111.5714286	NA	4.536670294	1.838457207	7.460472973	6.823032224	8.23433584	0	0.17929322146486	1.0064730473731	1.01298799508849	2797.172819	0.189930451074264	0.0360735762452733	17.788430332	0.00259302366818371	6.72377174376092e-06	83	-107	-0.0127981694716842	0.0124403580817359	-0.0149802944610773	-0.0205942292409955	3.73701310583035e-06	-0.039984428311903	V5	Alaska	deepskyblue	-728203.400293505	222634.121812247	-1071516.42499547	-97365.8323016794
GEN	1.06666666666667e-05	1.16666666666667e-05	0.999957555555556	1.01111111111111e-05	1e-05	0.0835636777777778	775.888888888889	1553.11111111111	2154.98888888889	3422.33333333333	-0.47474	49.9511	-122.99	2197	NA	0.654227487666667	GentianPeak	CassandraElphinstone	Aug192017	9	GEN	GentianPeak	Saximontana	49.9511	-122.99	10.5	10.5	13.16812533	12.08571429	8.735714286	14.70945946	0.066666667	0	NA	11.04824561	6.391230068	12.93189066	12.5987055	80.97424412	NA	0.551594608832932	1.24138539861375	1.54103770789141	1388.695898	0.147994440792252	0.0219023545054115	8.1039155628	0.00384282060288096	1.47672701859264e-05	50.4	-119	0.305187807612153	0.00347731421493188	0.0317089481515615	0.00611177696840484	-0.00550516368863828	-0.094736310513768	V3	Saximontana	purple	-3914442.07721511	2169810.67478791	-3800052.28105914	2466839.97255723
GF	1e-05	0.8567125	1e-05	1e-05	0.1432575	0.00888531	82.5	2137	2277	5071	-0.05001	76.4261	-82.9094	NA	5	0.535852713	GriseFiord	CassandraElphinstone	August102017	2	GF	GriseFiord	Nunavut	76.4261	-82.9094	9.5	9.5	1.073653148	2.314814815	-0.275555556	4.893902439	11.86075949	NA	158.6813187	3.180542986	0.630309989	6.038183935	9.716507177	60.41666667	152.7731092	0.0781168698066975	1.03415257887182	1.06947155638724	2809.000502	0.221114710492925	0.04889171519637	18.56025073	0.00301874849490333	9.11284247548112e-06	75	-93	-0.0130113556159741	0.0206288744449483	0.0342414323917995	-0.103502826992016	-0.00823604944716068	-0.0239171677306078	V2	Europe	yellow	-1636537.34293421	85767.2878569509	-1470165.34259869	-182873.839799711
HAZ	1e-05	0.6329982	1e-05	1e-05	0.3669718	0.004738829	44	7212.5	7402.34	10418.2	-0.062763	81.82744444	-71.33658333	NA	NA	1.0124523412	LakeHazenNunavut	PaulSokoloff	July162017	10	HAZ	LakeHazenNunavut	Nunavut	81.82744444	-71.33658333	5.5	5.5	155.4096297	1.974725275	-0.640217391	4.641758242	7.879120879	89.42857143	234.5652174	1.964897579	-0.534391081	4.648623064	4.764869888	59.15254237	238.125	0.0998170103753799	1.03379795061782	1.0687382027016	3033.648184	0.17169110831023	0.029477836672795	20.001899079	0.00240465460963046	5.78236379161704e-06	85	-55	-0.0135576866731013	0.0166191853944352	0.0129314198628594	-0.0696999686487693	-0.00619229704922645	-0.0309871895692165	V2	Europe	yellow	-445285.561406492	-311792.306752769	-842645.724740988	-284620.30086118
IG	1e-05	0.218180555555556	1e-05	0.773448444444444	0.008351	0.00305151722222222	28.3333333333333	5754.77777777778	6098.18888888889	8890.88888888889	-0.122902222222222	69.207	-51.105	55	7	1.15071770333333	IlulissatGreenland	PerMolgaard	2017-06-26	9	IG	IlulissatGreenland	Greenland	69.207	-51.105	9.5	9.5	89.62672459	5.034782609	2.791025641	8.410958904	11.82954545	NA	NA	6.06969697	3.594117647	9.153671215	14.32044888	90.5890411	NA	0.215820979243177	1.04315309269687	1.08816837480304	2804.387516	0.173255756764571	0.030017557252064	18.552505247	0.00250674105394376	6.28375071152707e-06	67	-47	-0.0141658209294925	0.0244498028942219	0.0578703093641194	0.0680899283067217	0.00504131533029386	0.0116634954416462	V4	Greenland	orange	-1851610.48779005	-1726654.71351494	-1777114.28233825	-1433694.42075817
IMN	1e-05	0.0014362	1e-05	0.0052657	0.9932781	0.0032310182	30	8414.3	8855.46	12375.7	-0.125165	68.61736	-149.3092	925	NA	0.6483719434	ImnavaitCreek	EdRustetter,ErinGleeson,GusShaver	July262017	10	IMN	ImnavaitCreek	Alaska	68.61736	-149.3092	20	NA	0.474626652	8.933695652	5.095652174	12.48043478	21.53488372	17.94565217	NA	9.268232891	5.411440245	12.78565657	20.94577259	18.41347905	NA	0.0572384537918848	1.00016823064191	1.00033648958537	3533.796526	0.175431858366246	0.0307763369298346	23.388994282	0.00243916338266239	5.94951800732102e-06	67	-140	-0.0121444244182466	0.0048918501607871	-0.0708546227028182	0.00250308967802312	0.00909592286490516	-0.0288865264709516	V5	Alaska	deepskyblue	-1627382.58777126	1939439.04550166	-1199212.54059254	2020443.05387515
Iq	1e-05	0.0247918888888889	1e-05	0.708822333333333	0.266366	0.0125770355555556	116.777777777778	7117.22222222222	7137.21111111111	10140.2222222222	-0.00645666666666667	63.7467	-68.517	NA	NA	NA	IqaluitNunavut	GregHenry	Sept62017	9	Iq	IqaluitNunavut	Nunavut	63.7467	-68.517	8.5	8.5	1.664006265	6.678651685	2.956043956	10.33820225	13.4137931	NA	346.5217391	2.176190476	3.277777778	10.39361702	16.36942675	NA	216.1904762	0.0857963160386458	1.0246207030352	1.04984758508834	3038.729036	0.17256413440833	0.0297783804840962	19.819704853	0.0024464719833076	5.985225165109e-06	63.7467	-68.517	-0.0137291989176985	0.0193970842805909	0.0228308807287057	0.0780499205332805	0.0084936374605298	-0.00573600396603479	V4	Greenland	orange	-2699872.3500428	-1062582.74323971	-2699872.3500428	-1062582.74323971
Kik	1e-05	0.104417333333333	1e-05	0.730915555555556	0.164647	0.00777838055555556	72.2222222222222	6913.88888888889	7109.45555555556	10118.3333333333	-0.06484	67.5556	-64.0257	NA	NA	NA	QikiqtarjuaqNunavut	GregHenry	Sept12017	9	Kik	QikiqtarjuaqNunavut	Nunavut	67.5556	-64.0257	13	13	0.701332001	3.010869565	0.097826087	5.889130435	7.663043478	NA	72.33766234	3.573044218	0.897792869	6.534517766	8.941830624	105.0653595	70.07722008	0.0837507309285825	1.02216019150396	1.04481145709541	3032.301394	0.172659836916205	0.0298114192839305	19.918514849	0.00247335967953634	6.11750810435609e-06	67.5556	-64.0257	-0.0136370228939377	0.0212377042177207	0.034859636199667	0.0711601874195564	0.00520603832908719	-0.00140495965382052	V4	Greenland	orange	-2219651.93865931	-1081364.38910829	-2219651.93865931	-1081364.38910829
