Individual Code,Number of SNPs missing (total 10339),Percentage missing SNPs
PopLON_17,45,0.44
PopLON_19,43,0.42
PopLON_23,18,0.17
PopLON_28,14,0.14
PopLON_36,52,0.50
PopLON_4,79,0.76
PopLON_9,82,0.79
PopMAT_11,22,0.21
PopMAT_13,33,0.32
PopMAT_18,77,0.74
PopMAT_1,10,0.10
PopMAT_2,6,0.06
PopMAT_3,4,0.04
PopMAT_5,3,0.03
PopMAT_7,42,0.41
PopMAT_8,45,0.44
PopMAT_9,6951,67.23
PopMIL_11,39,0.38
PopMIL_14,24,0.23
PopMIL_17,20,0.19
PopMIL_1,26,0.25
PopMIL_20,25,0.24
PopMIL_25,67,0.65
PopMIL_2,42,0.41
PopMIL_37,34,0.33
PopMIL_5,17,0.16
PopMIL_6,4,0.04
PopMNT_12,1,0.01
PopMNT_17,33,0.32
PopMNT_18,52,0.50
PopMNT_21,41,0.40
PopMNT_22,47,0.45
PopMNT_23,79,0.76
PopMNT_4,65,0.63
PopMNT_5,31,0.30
PopMNT_7,41,0.40
PopMNT_9,8,0.08
PopPC1_1,10206,98.71
PopPC1_2,79,0.76
PopPC2_1,29,0.28
PopPC2_2,56,0.54
PopPC3_1,19,0.18
PopPC3_2,56,0.54
PopPC4_1,378,3.66
PopPC4_2,5,0.05
PopPC5_1,36,0.35
PopPC5_2,38,0.37
PopPEA_11,43,0.42
PopPEA_18,53,0.51
PopPEA_25,24,0.23
PopPEA_26,40,0.39
PopPEA_27,32,0.31
PopPEA_28,245,2.37
PopPEA_30,124,1.20
PopPEA_34,48,0.46
PopPEA_36,59,0.57
PopPET_1,13,0.13
PopPET_2,58,0.56
PopPET_3,21,0.20
PopPET_4,66,0.64
PopPET_5,16,0.15
PopPHE_1,2400,23.21
PopPHE_2,3532,34.16
PopPHE_3,2379,23.01
PopQHI_21,9408,91.00
PopQHI_22,14,0.14
PopQHI_23,10257,99.21
PopQHI_24,5,0.05
PopQHI_31,39,0.38
PopQHI_32,63,0.61
PopQHI_33,245,2.37
PopQHI_34,47,0.45
PopQHI_37,50,0.48
PopQHI_38,49,0.47
PopSAG_13,23,0.22
PopSAG_14,13,0.13
PopSAG_16,29,0.28
PopSAG_21,34,0.33
PopSAG_23,26,0.25
PopSAG_24,23,0.22
PopSAG_32,39,0.38
PopSAG_38,144,1.39
PopSAG_5,37,0.36
PopSAG_9,63,0.61
PopSAM_1a,102,0.99
PopSAM_1,83,0.80
PopSAM_2a,127,1.23
PopSAM_2,100,0.97
PopSAM_3a,71,0.69
PopSAM_3,85,0.82
PopSAM_4a,6848,66.23
PopSAM_4,54,0.52
PopSAM_5a,23,0.22
PopSAM_5,41,0.40
PopSVN_18,1197,11.58
PopSVN_22,5705,55.18
PopSVO_13,3961,38.31
PopSVO_15,7151,69.17
PopSVO_16,2349,22.72
PopSVO_18,6402,61.92
PopSVO_1,2233,21.60
PopSVO_20,6957,67.29
PopSVO_24,8693,84.08
PopSVO_28,1774,17.16
PopSVO_36,10337,99.98
PopSVO_37,10256,99.20
PopSVO_38,982,9.50
PopSVO_5,8859,85.69
PopSW_18,48,0.46
PopSW_22,42,0.41
PopSW_29,29,0.28
PopSW_2,34,0.33
PopSW_31,41,0.40
PopSW_34,63,0.61
PopSW_36,59,0.57
PopSW_3,40,0.39
PopSW_45,137,1.33
PopSW_5,7,0.07
PopYAM_10,79,0.76
PopYAM_1,88,0.85
PopYAM_2,10307,99.69
PopYAM_3,653,6.32
PopYAM_4,91,0.88
PopYAM_5,2,0.02
PopYAM_6,61,0.59
PopYAM_7,47,0.45
PopYAM_8,26,0.25
PopYAM_9,81,0.78
PopYED_1a,93,0.90
PopYED_1,74,0.72
PopYED_2a,27,0.26
PopYED_2,81,0.78
PopYED_3a,75,0.73
PopYED_3,75,0.73
PopYED_4a,68,0.66
PopYED_4,113,1.09
PopYED_5a,88,0.85
PopYED_5,53,0.51
PopZAC_1,58,0.56
PopZAC_20,79,0.76
PopZAC_21,10,0.10
PopZAC_22,0,0.00
PopZAC_23,15,0.15
PopZAC_24,1,0.01
PopZAC_25,10,0.10
PopZAC_26,2,0.02
PopZAC_28,31,0.30
PopZAC_7,12,0.12
