ID_code,Location,Lat,Long,Elevation,Location.description,Notes,Alex.GPS.point,Collector,Avg.Temp,Julyhigh,Julylow,JulyPrecip(mm),GroupName,Group,QubitPCR.Conc,Ext.Qubit.conc.,Ext.260.280,Ext.260.230,Volume.to.pool.1,Leaf_date,Weight.of.sample..mg.,Numb.leaves,Leaf_weight,Sampling.Notes.y,DOY,Date,Flowering.date,Pop,Id,Pop_shift,Lat_shift,Long_shift,LocationName,Ice_time
PopAlexNew_73,Alex,78.846377,-75.772957,,,,223,CassandraElphinstone,5.5,,,,ELL2,Nunavut,72.8,232,,,3.434065934,,,,,,212,July312017,190,AlexNew,73,Alex,78,-64,AlexandraFiord,7.2
PopAlexOld_21,AlexOld,78.847422,-75.791624,,AF/MF,,236,CassandraElphinstone,,,,,AO,Ancient,10.5,80.6,,,23.80952381,,,,,,212,July312017,,AlexOld,21,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_24,AlexOld,78.836311,-75.817164,,SWG,,229,CassandraElphinstone,,,,,AO,Ancient,17.1,264,,,14.61988304,,,,,,212,July312017,,AlexOld,24,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_30,AlexOld,78.846987,-75.791666,,MF,,235,CassandraElphinstone,,,,,AO,Ancient,13.2,26,,,18.93939394,,,,,,212,July312017,,AlexOld,30,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_33,AlexOld,78.847422,-75.791624,,MF/AF,,236,CassandraElphinstone,,,,,AO,Ancient,20.6,157,,,12.13592233,,,,,,212,July312017,,AlexOld,33,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_37,AlexOld,78.84801,-75.795772,,AF,,239,CassandraElphinstone,,,,,AO,Ancient,26.2,53.2,,,9.541984733,,,,,,212,July312017,,AlexOld,37,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_39,AlexOld,78.847921,-75.791668,,AF,,237,CassandraElphinstone,,,,,AO,Ancient,17.7,29,,,14.12429379,,,,,,212,July312017,,AlexOld,39,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_50,AlexOld,78.836311,-75.817164,,,,229,CassandraElphinstone,,,,,AO,Ancient,9.14,42.8,,,27.35229759,,,,,,212,July312017,,AlexOld,50,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_56,AlexOld,78.844833,-75.790813,,GF,,231,CassandraElphinstone,,,,,AO,Ancient,51,47.2,,,4.901960784,,,,,,212,July312017,,AlexOld,56,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_66,AlexOld,78.848861,-75.804709,,AF,,242,CassandraElphinstone,,,,,AO,Ancient,17.3,147,,,14.45086705,,,,,,212,July312017,,AlexOld,66,Alex,78,-64,AlexandraFiordOld,7.2
PopAlexOld_89,AlexOld,78.847861,-75.794836,,AF,SEEDS,238,CassandraElphinstone,,,,,AO,Ancient,33,46.4,,,7.575757576,,,,,,212,July312017,,AlexOld,89,Alex,78,-64,AlexandraFiordOld,7.2
PopATQ_17,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,65.8,66.4,1.49,0.99,3.799392097,2018-01-30,20,70,0.285714286,,175,June242017,174,ATQ,17,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_18,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,43,33.6,1.79,1.23,5.813953488,2018-01-30,21,24,0.875,,175,June242017,174,ATQ,18,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_19,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,61.8,107,2.04,1.49,4.045307443,2018-01-30,22,20,1.1,,175,June242017,174,ATQ,19,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_21,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,102,268,1.8,1.31,2.450980392,,,,,,175,June242017,174,ATQ,21,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_22,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,46,146,1.67,1.2,5.434782609,2018-01-30,20,70,0.285714286,,175,June242017,174,ATQ,22,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_23,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,75,150,1.74,1.37,3.333333333,2018-01-30,21,84,0.25,,175,June242017,174,ATQ,23,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_25,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,63.2,72.4,1.8,1.34,3.955696203,2018-01-30,23,23,1,,175,June242017,174,ATQ,25,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_30,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK2,Alaska,56.6,43.4,1.78,1.27,4.416961131,2018-01-30,20,22,0.909090909,,175,June242017,174,ATQ,30,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_36,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,78.8,81.6,1.42,0.83,3.172588832,2018-01-30,19,22,0.863636364,,175,June242017,174,ATQ,36,ATQ,68,-168.5,AtqasukDryAlaska,20
PopATQ_37,AtqasukDry,70.45373011,-157.4073879,22,,,,"RobertHollister,JacobHarris",,15,6,,AK1,Alaska,54.4,33.2,1.8,1.41,4.595588235,2018-01-30,19,27,0.703703704,,175,June242017,174,ATQ,37,ATQ,68,-168.5,AtqasukDryAlaska,20
PopAXE_11,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,83.2,26,1.75,1.09,3.004807692,2018-02-16,21,29,0.724137931,,193,July122017,,AXE,11,AXE,79,-104,AxelHeibergIsland,2
PopAXE_13,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,74.8,14.6,1.76,1.07,3.342245989,2018-02-27,23,26,0.884615385,,193,July122017,,AXE,13,AXE,79,-104,AxelHeibergIsland,2
PopAXE_14,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,49.8,58.6,,,5.020080321,,,,,,193,July122017,,AXE,14,AXE,79,-104,AxelHeibergIsland,2
PopAXE_2,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,55.6,74,,,4.496402878,,,,,,193,July122017,,AXE,2,AXE,79,-104,AxelHeibergIsland,2
PopAXE_21,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,70,137,,,3.571428571,,,,,,193,July122017,,AXE,21,AXE,79,-104,AxelHeibergIsland,2
PopAXE_26,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,59.6,42.2,,,4.194630872,,,,,,193,July122017,,AXE,26,AXE,79,-104,AxelHeibergIsland,2
PopAXE_27,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,11.8,57.4,,,21.18644068,,,,,,193,July122017,,AXE,27,AXE,79,-104,AxelHeibergIsland,2
PopAXE_34,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL2,Nunavut,82,111,,,3.048780488,,,,,,193,July122017,,AXE,34,AXE,79,-104,AxelHeibergIsland,2
PopAXE_6,AxelHeiberg,79.41508333,-90.74811111,,717,,,PaulSokoloff,-2,0,-4,,ELL1,Nunavut,25.6,84.6,,,9.765625,,,,,,193,July122017,,AXE,6,AXE,79,-104,AxelHeibergIsland,2
PopBARD_1,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,87.4,200,1.84,1.4,2.860411899,,,,,,189,July82017,183,BARD,1,BARD,71,-166,BarrowDryAlaska,20
PopBARD_10,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,53.4,278,1.86,1.52,4.68164794,,,,,,189,July82017,183,BARD,10,BARD,71,-166,BarrowDryAlaska,20
PopBARD_11,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,38.4,153,1.7,1.22,6.510416667,,,,,,189,July82017,183,BARD,11,BARD,71,-166,BarrowDryAlaska,20
PopBARD_14,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,48.4,125,1.64,0.76,5.165289256,,,,,,189,July82017,183,BARD,14,BARD,71,-166,BarrowDryAlaska,20
PopBARD_15,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,80.2,158,1.83,1.24,3.117206983,,,,,,189,July82017,183,BARD,15,BARD,71,-166,BarrowDryAlaska,20
PopBARD_16,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,58,17.7,1.74,0.98,4.310344828,2018-01-31,23,21,1.095238095,,189,July82017,183,BARD,16,BARD,71,-166,BarrowDryAlaska,20
PopBARD_2,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,82.4,145,1.65,0.83,3.033980583,,,,,,189,July82017,183,BARD,2,BARD,71,-166,BarrowDryAlaska,20
PopBARD_37,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,75.2,91,1.65,1.13,3.324468085,2018-01-31,21,26,0.807692308,,189,July82017,183,BARD,37,BARD,71,-166,BarrowDryAlaska,20
PopBARD_38,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,84.4,36.6,1.84,1.23,2.962085308,2018-01-31,21,22,0.954545455,,189,July82017,183,BARD,38,BARD,71,-166,BarrowDryAlaska,20
PopBARD_9,BarrowDry,71.31502696,-156.5988572,5,,,,"RobertHollister,JacobHarris",4,8,1,,AK1,Alaska,35,218,1.77,1.06,7.142857143,,,,,,189,July82017,183,BARD,9,BARD,71,-166,BarrowDryAlaska,20
PopBY1_1,Bylot,73.15691,-79.96867,20,,Theexactfloweringdatecouldbedeterminedfromlookingatallphotostakenatthegoosecampattheendofthesummer.Pleaseremindmethisifyouhavenonewsendofseptembre,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,54.2,75.4,,,4.612546125,,,,,,192,2017-07-11,180,BY,1,BY,73.15691,-79.96867,BylotIslandPos1,10.5
PopBY1_14,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,63,39,1.87,1.36,3.968253968,2018-03-05,23,24,0.958333333,Theexactfloweringdatecouldbedeterminedfromlookingatallphotostakenatthegoosecampattheendofthesummer.Pleaseremindmethisifyouhavenonewsendofseptembre,192,2017-07-11,180,BY,14,BY,73.15691,-79.96867,BylotIslandPos1,10.5
PopBY1_5,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,44.8,68,,,5.580357143,,,,,,192,2017-07-11,180,BY,5,BY,73.15691,-79.96867,BylotIslandPos1,10.5
PopBY1_7,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,45.8,174,,,5.458515284,,,,,,192,2017-07-11,180,BY,7,BY,73.15691,-79.96867,BylotIslandPos1,10.5
PopBY2_12,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,55.8,98,,,4.480286738,,,,,,192,2017-07-11,180,BY,12,BY,73.15691,-79.96867,BylotIslandPos2,10.5
PopBY2_3,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,64.4,116,,,3.881987578,,,,,,192,2017-07-11,180,BY,3,BY,73.15691,-79.96867,BylotIslandPos2,10.5
PopBY2_9,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,23.2,37.8,1.88,1.43,10.77586207,2018-03-05,23,30,0.766666667,,192,2017-07-11,180,BY,9,BY,73.15691,-79.96867,BylotIslandPos2,10.5
PopBY3_14,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,87.2,105,,,2.866972477,,,,,,192,2017-07-11,180,BY,14,BY,73.15691,-79.96867,BylotIslandPos3,10.5
PopBY3_18,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,51.2,34,1.84,1.32,4.8828125,2018-03-05,19,27,0.703703704,,192,2017-07-11,180,BY,18,BY,73.15691,-79.96867,BylotIslandPos3,10.5
PopBY3_19,Bylot,73.15691,-79.96867,20,,,,EstherLévesqueandVincentMarie,4.5,2,-2,92,NUN,Nunavut,63.2,53.2,,,3.955696203,,,,,,192,2017-07-11,180,BY,19,BY,73.15691,-79.96867,BylotIslandPos3,10.5
PopCR_1,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,67,174,,,3.731343284,,,,,,183,July22017,,CR,1,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_10,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,38.4,77,1.75,1.17,6.510416667,2018-03-07,21,20,1.05,duplicate30mg,183,July22017,,CR,10,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_12,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,24.4,115,,,10.24590164,,,,,,183,July22017,,CR,12,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_13,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,71.4,278,,,3.50140056,,,,,,183,July22017,,CR,13,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_17,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,61.2,185,,,4.08496732,,,,,,183,July22017,,CR,17,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_2,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,60.4,98.4,1.61,1.25,4.139072848,2018-03-07,24,36,0.666666667,duplicate,183,July22017,,CR,2,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_4,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,57.6,97.2,,,4.340277778,,,,,,183,July22017,,CR,4,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_5,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,80.4,83.4,1.83,1.59,3.109452736,2018-03-07,24,28,0.857142857,duplicate30mg,183,July22017,,CR,5,CR,70.4844,-68.5131,ClydeRiver,10.5
PopCR_7,ClydeRiver,70.4844,-68.5131,27,byairport,,,CassandraElphinstone,4.5,,,,NUN,Nunavut,54.8,100,,,4.562043796,,,,,,183,July22017,,CR,7,CR,70.4844,-68.5131,ClydeRiver,10.5
