# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Russia	66	16.00000	0.00000	0.00000	0.95535	0.01203	0.00230	0.07023	0.02995	0.00362	0.92977	0.02995	0.00362	0.06127	0.01923	0.00290	0.93873	0.01923	0.00290	0.06324	0.02049	0.00300	-0.01631	0.02029	0.00000
Alaska	97	32.00000	0.00000	0.00000	0.94916	0.01173	0.00227	0.08370	0.02913	0.00357	0.91630	0.02913	0.00357	0.07306	0.02018	0.00297	0.92694	0.02018	0.00297	0.07422	0.02082	0.00302	-0.02467	0.01089	0.00000
Europe	38	63.00000	0.00000	0.00000	0.95852	0.01035	0.00213	0.06190	0.02161	0.00308	0.93810	0.02161	0.00308	0.05882	0.01739	0.00276	0.94118	0.01739	0.00276	0.05930	0.01767	0.00278	-0.00362	0.01323	0.00000
BCmer	1135	6.00000	0.00000	0.00000	0.93692	0.01939	0.00292	0.10526	0.05919	0.00510	0.89474	0.05919	0.00510	0.07945	0.02629	0.00340	0.92055	0.02629	0.00340	0.08667	0.03129	0.00370	-0.03395	0.04224	0.00000
BCtet	197	10.00000	0.00000	0.00000	0.97914	0.00886	0.00197	0.04118	0.03494	0.00391	0.95882	0.03494	0.00391	0.02312	0.00994	0.00209	0.97688	0.00994	0.00209	0.02434	0.01101	0.00220	-0.03277	0.02655	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Russia	66	2310	2280	476	20.60606	16.00000	0.00000	0.00000	0.95593	0.01190	0.00227	0.06932	0.02962	0.00358	0.93068	0.02962	0.00358	0.06047	0.01903	0.00287	0.93953	0.01903	0.00287	0.06242	0.02028	0.00296	-0.01610	0.02003	0.00000
Alaska	97	2310	2280	682	29.52381	32.00000	0.00000	0.00000	0.94982	0.01161	0.00224	0.08262	0.02884	0.00353	0.91738	0.02884	0.00353	0.07212	0.01998	0.00294	0.92788	0.01998	0.00294	0.07326	0.02062	0.00299	-0.02435	0.01076	0.00000
Europe	38	2310	2280	587	25.41126	63.00000	0.00000	0.00000	0.95906	0.01024	0.00211	0.06110	0.02138	0.00304	0.93890	0.02138	0.00304	0.05806	0.01721	0.00273	0.94194	0.01721	0.00273	0.05853	0.01749	0.00275	-0.00358	0.01305	0.00000
BCmer	1135	2310	2280	517	22.38095	6.00000	0.00000	0.00000	0.93773	0.01919	0.00288	0.10390	0.05857	0.00504	0.89610	0.05857	0.00504	0.07842	0.02603	0.00336	0.92158	0.02603	0.00336	0.08554	0.03098	0.00366	-0.03351	0.04170	0.00000
BCtet	197	2310	2280	135	5.84416	10.00000	0.00000	0.00000	0.97942	0.00875	0.00195	0.04065	0.03451	0.00386	0.95935	0.03451	0.00386	0.02282	0.00982	0.00206	0.97718	0.00982	0.00206	0.02402	0.01088	0.00217	-0.03235	0.02622	0.00000
