# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Russia	77	16.00000	0.00000	0.00000	0.89180	0.02229	0.00487	0.17016	0.05559	0.00769	0.82984	0.05559	0.00769	0.14845	0.03368	0.00598	0.85155	0.03368	0.00598	0.15323	0.03588	0.00618	-0.03953	0.04827	0.00000
Alaska	24	32.00000	0.00000	0.00000	0.87681	0.01952	0.00455	0.20281	0.04644	0.00702	0.79719	0.04644	0.00702	0.17703	0.03050	0.00569	0.82297	0.03050	0.00569	0.17984	0.03147	0.00578	-0.05978	0.02431	0.00000
Europe	32	63.00000	0.00000	0.00000	0.89950	0.01916	0.00451	0.14999	0.03916	0.00645	0.85001	0.03916	0.00645	0.14253	0.03023	0.00567	0.85747	0.03023	0.00567	0.14367	0.03071	0.00571	-0.00878	0.03202	0.00000
NWT	11	24.00000	0.00000	0.00000	0.88660	0.01877	0.00447	0.17517	0.04105	0.00660	0.82483	0.04105	0.00660	0.16357	0.02983	0.00563	0.83643	0.02983	0.00563	0.16705	0.03111	0.00575	-0.01665	0.03704	0.00000
Nunavut	47	81.00000	0.00000	0.00000	0.89202	0.01654	0.00419	0.15317	0.02752	0.00541	0.84683	0.02752	0.00541	0.15959	0.02666	0.00532	0.84041	0.02666	0.00532	0.16059	0.02699	0.00536	0.03637	0.03302	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Russia	77	2310	941	476	20.60606	16.00000	0.00000	0.00000	0.95593	0.01190	0.00227	0.06932	0.02962	0.00358	0.93068	0.02962	0.00358	0.06047	0.01903	0.00287	0.93953	0.01903	0.00287	0.06242	0.02028	0.00296	-0.01610	0.02003	0.00000
Alaska	24	2310	941	682	29.52381	32.00000	0.00000	0.00000	0.94982	0.01161	0.00224	0.08262	0.02884	0.00353	0.91738	0.02884	0.00353	0.07212	0.01998	0.00294	0.92788	0.01998	0.00294	0.07326	0.02062	0.00299	-0.02435	0.01076	0.00000
Europe	32	2310	941	587	25.41126	63.00000	0.00000	0.00000	0.95906	0.01024	0.00211	0.06110	0.02138	0.00304	0.93890	0.02138	0.00304	0.05806	0.01721	0.00273	0.94194	0.01721	0.00273	0.05853	0.01749	0.00275	-0.00358	0.01305	0.00000
NWT	11	2310	941	605	26.19048	24.00000	0.00000	0.00000	0.95381	0.01075	0.00216	0.07136	0.02412	0.00323	0.92864	0.02412	0.00323	0.06663	0.01861	0.00284	0.93337	0.01861	0.00284	0.06805	0.01941	0.00290	-0.00678	0.01514	0.00000
Nunavut	47	2310	941	762	32.98701	81.00000	0.00000	0.00000	0.95601	0.00955	0.00203	0.06240	0.01687	0.00270	0.93760	0.01687	0.00270	0.06501	0.01700	0.00271	0.93499	0.01700	0.00271	0.06542	0.01722	0.00273	0.01482	0.01376	0.00000
