# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Greenland	2	48.00000	0.00000	0.00000	0.95863	0.01024	0.00211	0.06670	0.02532	0.00331	0.93330	0.02532	0.00331	0.05885	0.01715	0.00273	0.94115	0.01715	0.00273	0.05947	0.01752	0.00275	-0.01641	0.01262	0.00000
Nunavut	2	104.00000	0.00000	0.00000	0.95515	0.00959	0.00204	0.06278	0.01616	0.00264	0.93722	0.01616	0.00264	0.06650	0.01694	0.00271	0.93350	0.01694	0.00271	0.06682	0.01710	0.00272	0.02393	0.01834	0.00000
Beringia	11	107.00000	0.00000	0.00000	0.94411	0.01092	0.00217	0.08741	0.02302	0.00316	0.91259	0.02302	0.00316	0.08370	0.01868	0.00284	0.91630	0.01868	0.00284	0.08409	0.01885	0.00286	0.00668	0.01788	0.00000
Saximontana	11	10.00000	0.00000	0.00000	0.97942	0.00875	0.00195	0.04065	0.03451	0.00386	0.95935	0.03451	0.00386	0.02282	0.00982	0.00206	0.97718	0.00982	0.00206	0.02402	0.01088	0.00217	-0.03235	0.02622	0.00000
Outgroup	4	9.00000	0.00000	0.00000	0.81864	0.02097	0.00301	0.23074	0.04474	0.00440	0.76926	0.04474	0.00440	0.25501	0.03329	0.00380	0.74499	0.03329	0.00380	0.27001	0.03732	0.00402	0.11414	0.07399	0.00000
Europe	0	35.00000	0.00000	0.00000	0.94073	0.00898	0.00197	0.07144	0.01990	0.00293	0.92856	0.01990	0.00293	0.09357	0.01431	0.00249	0.90643	0.01431	0.00249	0.09492	0.01473	0.00253	0.36373	0.18580	0.00000
NWT	1	17.00000	0.00000	0.00000	0.95332	0.01058	0.00214	0.07344	0.02376	0.00321	0.92656	0.02376	0.00321	0.06785	0.01815	0.00280	0.93215	0.01815	0.00280	0.06991	0.01927	0.00289	-0.00942	0.01330	0.00000
Russia	10	19.00000	0.00000	0.00000	0.95367	0.01112	0.00219	0.07020	0.02590	0.00335	0.92980	0.02590	0.00335	0.06613	0.01855	0.00283	0.93387	0.01855	0.00283	0.06792	0.01957	0.00291	0.00237	0.02905	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Greenland	2	2310	2310	601	26.01732	48.00000	0.00000	0.00000	0.95863	0.01024	0.00211	0.06670	0.02532	0.00331	0.93330	0.02532	0.00331	0.05885	0.01715	0.00273	0.94115	0.01715	0.00273	0.05947	0.01752	0.00275	-0.01641	0.01262	0.00000
Nunavut	2	2310	2310	926	40.08658	104.00000	0.00000	0.00000	0.95515	0.00959	0.00204	0.06278	0.01616	0.00264	0.93722	0.01616	0.00264	0.06650	0.01694	0.00271	0.93350	0.01694	0.00271	0.06682	0.01710	0.00272	0.02393	0.01834	0.00000
Beringia	11	2310	2310	1163	50.34632	107.00000	0.00000	0.00000	0.94411	0.01092	0.00217	0.08741	0.02302	0.00316	0.91259	0.02302	0.00316	0.08370	0.01868	0.00284	0.91630	0.01868	0.00284	0.08409	0.01885	0.00286	0.00668	0.01788	0.00000
Saximontana	11	2310	2310	135	5.84416	10.00000	0.00000	0.00000	0.97942	0.00875	0.00195	0.04065	0.03451	0.00386	0.95935	0.03451	0.00386	0.02282	0.00982	0.00206	0.97718	0.00982	0.00206	0.02402	0.01088	0.00217	-0.03235	0.02622	0.00000
Outgroup	4	2310	2310	1689	73.11688	9.00000	0.00000	0.00000	0.81864	0.02097	0.00301	0.23074	0.04474	0.00440	0.76926	0.04474	0.00440	0.25501	0.03329	0.00380	0.74499	0.03329	0.00380	0.27001	0.03732	0.00402	0.11414	0.07399	0.00000
Europe	0	2310	2310	1838	79.56710	35.00000	0.00000	0.00000	0.94073	0.00898	0.00197	0.07144	0.01990	0.00293	0.92856	0.01990	0.00293	0.09357	0.01431	0.00249	0.90643	0.01431	0.00249	0.09492	0.01473	0.00253	0.36373	0.18580	0.00000
NWT	1	2310	2310	673	29.13420	17.00000	0.00000	0.00000	0.95332	0.01058	0.00214	0.07344	0.02376	0.00321	0.92656	0.02376	0.00321	0.06785	0.01815	0.00280	0.93215	0.01815	0.00280	0.06991	0.01927	0.00289	-0.00942	0.01330	0.00000
Russia	10	2310	2310	650	28.13853	19.00000	0.00000	0.00000	0.95367	0.01112	0.00219	0.07020	0.02590	0.00335	0.92980	0.02590	0.00335	0.06613	0.01855	0.00283	0.93387	0.01855	0.00283	0.06792	0.01957	0.00291	0.00237	0.02905	0.00000
